Bataillard 07;BAT7;2007;813739;2126874;411518;78;33;0,403199999999999;240,480416666667;133,046666666667
boliard;BOL7;2007;810151;2125831;59009;100;99;chloropa (Âµg/L);52,6226666666667;153,42
Chambre;CHA7;2007;807480;2107325;278696;42;28;2,0054;33,132;35,1508
Chossogne;CHO7;2007;802508;2104021;155262;19;7;4,254;22,89;7,3632
Clair;CLA7;2007;818644;2133912;44900;15;7;9,132;23,40475;10,1065
Crinier;CRI7;2007;810675;2120692;84935;90;92;176,68125;218,478571428571;32,231
Dufay;DUF7;2007;805892;2104521;133040;165;223;247,316363636364;123,156;59,6825
Ferret 07;FER7;2007;811380;2127148;125079;17;10;4,8944;49,0485;8,49607142857143
filatiere (foret sud);FIL7;2007;802824;2120408;99721;63;57;39,1584615384615;174,395;69,5018181818182
Flammareins;FLA7;2007;804992;2118000;204254;57;9;2,112;57,372;21,3704
Fortiere;FOR7;2007;802745;2119892;176379;18;4;2,36;18,4186;36,3492
Gervais 07;GER7;2007;811232;2128454;85920;283;331;68,4456;330,973;62,798
Gourd;GOU7;2007;813648;2126166;316100;126;166;193,374;156,3735;15,295
Grand Curtelet 07;CUG7;2007;812517;2123432;261830;46;49;252,669333333333;117,0665;7,3275
Grand Moulin 07;MOG7;2007;799612;2105318;118000;54;74;31,1007692307692;41,2156;0,2328
Grand Vernai 07;VER7;2007;813640;2125478;96393;16;26;6,2348;6,21571428571429;6,3912
Laurencin;LAU7;2007;813348;2125171;188321;15;80;3,625;10,0757142857143;17,3965
Longevavre;LON7;2007;807240;2106858;34137;104;133;14,0374545454545;70,721;40,05
Murit 07;MUR7;2007;815595;2112698;134318;218;38;23,3524;316,345333333333;274,318333333333
Neuf riom;NER7;2007;804334;2117202;361832;28;9;7,6152;32,2524;17,8528
Olliere;OLI7;2007;810656;2126071;81636;96;97;12,5704347826087;96,2958333333333;32,7408
Ondonnieres 07;OND7;2007;817342;2114929;118357;128;62;12,6606;383,229;61,8325
Oures;OUR7;2007;814006;2114101;169788;67;35;0,5974;130,534333333333;12,9269230769231
Petit berger;BER7;2007;811019;2126295;40925;71;66;93,2826315789474;85,9052;51,79
Petit turlet;TUP7;2007;808347;2113345;264500;150;107;15,065;214,268;49,8622222222222
Ratay;RAT7;2007;812643;2123970;96900;197;182;59,1369230769231;351,557;65,5590909090909
Remondet;RES7;2007;816760;2117493;230740;18;8;5,6356;39,34075;37,9622222222222
Treveux;TRE7;2007;814760;2119891;59500;30;25;48,006;205,0088;21,1946666666667
Tripoux;TRI7;2007;817280;2115613;73509;84;55;0,3676;66,3826666666667;77,6325
Vavre sud;VAS7;2007;813428;2122034;415800;12;9;2,5242;NA;3,76